a,b,c,ab,bc,ac,abc
0,0,0,0,0,0,0
0,0,1,0,1,1,1
0,0,2,0,4,4,4
0,0,3,0,9,9,9
0,0,4,0,16,16,16
0,0,5,0,25,25,25
0,0,6,0,36,36,36
0,0,7,0,49,49,49
0,0,8,0,64,64,64
0,0,9,0,81,81,81
0,0,10,0,100,100,100
0,0,11,0,121,121,121
0,0,12,0,144,144,144
0,0,13,0,169,169,169
0,0,14,0,196,196,196
0,0,15,0,225,225,225
0,0,16,0,256,256,256
0,0,17,0,289,289,289
0,0,18,0,324,324,324
0,0,19,0,361,361,361
0,0,20,0,400,400,400
0,0,21,0,441,441,441
0,0,22,0,484,484,484
0,0,23,0,529,529,529
0,0,24,0,576,576,576
0,0,25,0,625,625,625
0,0,26,0,676,676,676
0,0,27,0,729,729,729
0,0,28,0,784,784,784
0,0,29,0,841,841,841
0,0,30,0,900,900,900
0,0,31,0,961,961,961
0,0,32,0,1024,1024,1024
0,0,33,0,1089,1089,1089
0,0,34,0,1156,1156,1156
0,0,35,0,1225,1225,1225
0,0,36,0,1296,1296,1296
0,0,37,0,1369,1369,1369
0,0,38,0,1444,1444,1444
0,0,39,0,1521,1521,1521
0,0,40,0,1600,1600,1600
0,0,41,0,1681,1681,1681
0,0,42,0,1764,1764,1764
0,0,43,0,1849,1849,1849
0,0,44,0,1936,1936,1936
0,0,45,0,2025,2025,2025
0,0,46,0,2116,2116,2116
0,0,47,0,2209,2209,2209
0,0,48,0,2304,2304,2304
0,0,49,0,2401,2401,2401
0,0,50,0,2500,2500,2500
0,0,51,0,2601,2601,2601
0,0,52,0,2704,2704,2704
0,0,53,0,2809,2809,2809
0,0,54,0,2916,2916,2916
0,0,55,0,3025,3025,3025
0,0,56,0,3136,3136,3136
0,0,57,0,3249,3249,3249
0,0,58,0,3364,3364,3364
0,0,59,0,3481,3481,3481
0,0,60,0,3600,3600,3600
0,0,61,0,3721,3721,3721
0,0,62,0,3844,3844,3844
0,0,63,0,3969,3969,3969
0,0,64,0,4096,4096,4096
0,0,65,0,4225,4225,4225
0,0,66,0,4356,4356,4356
0,0,67,0,4489,4489,4489
0,0,68,0,4624,4624,4624
0,0,69,0,4761,4761,4761
0,0,70,0,4900,4900,4900
0,0,71,0,5041,5041,5041
0,0,72,0,5184,5184,5184
0,0,73,0,5329,5329,5329
0,0,74,0,5476,5476,5476
0,0,75,0,5625,5625,5625
0,0,76,0,5776,5776,5776
