a,b,c,ab,bc,ac,abc
0,0,77,0,5929,5929,5929
0,0,78,0,6084,6084,6084
0,0,79,0,6241,6241,6241
0,0,80,0,6400,6400,6400
0,0,81,0,6561,6561,6561
0,0,82,0,6724,6724,6724
0,0,83,0,6889,6889,6889
0,0,84,0,7056,7056,7056
0,0,85,0,7225,7225,7225
0,0,86,0,7396,7396,7396
0,0,87,0,7569,7569,7569
0,0,88,0,7744,7744,7744
0,0,89,0,7921,7921,7921
0,0,90,0,8100,8100,8100
0,0,91,0,8281,8281,8281
0,0,92,0,8464,8464,8464
0,0,93,0,8649,8649,8649
0,0,94,0,8836,8836,8836
0,0,95,0,9025,9025,9025
0,0,96,0,9216,9216,9216
0,0,97,0,9409,9409,9409
0,0,98,0,9604,9604,9604
0,0,99,0,9801,9801,9801
0,0,100,0,10000,10000,10000
0,0,101,0,10201,10201,10201
0,0,102,0,10404,10404,10404
0,0,103,0,10609,10609,10609
0,0,104,0,10816,10816,10816
0,0,105,0,11025,11025,11025
0,0,106,0,11236,11236,11236
0,0,107,0,11449,11449,11449
0,0,108,0,11664,11664,11664
0,0,109,0,11881,11881,11881
0,3,4,9,25,16,25
0,5,12,25,169,144,169
0,6,8,36,100,64,100
0,7,24,49,625,576,625
0,8,15,64,289,225,289
0,9,12,81,225,144,225
0,9,40,81,1681,1600,1681
0,10,24,100,676,576,676
0,11,60,121,3721,3600,3721
0,12,16,144,400,256,400
0,12,35,144,1369,1225,1369
0,13,84,169,7225,7056,7225
0,14,48,196,2500,2304,2500
0,15,20,225,625,400,625
0,15,36,225,1521,1296,1521
0,16,30,256,1156,900,1156
0,16,63,256,4225,3969,4225
0,18,24,324,900,576,900
0,18,80,324,6724,6400,6724
0,20,21,400,841,441,841
0,20,48,400,2704,2304,2704
0,20,99,400,10201,9801,10201
0,21,28,441,1225,784,1225
0,21,72,441,5625,5184,5625
0,24,32,576,1600,1024,1600
0,24,45,576,2601,2025,2601
0,24,70,576,5476,4900,5476
0,25,60,625,4225,3600,4225
0,27,36,729,2025,1296,2025
0,28,45,784,2809,2025,2809
0,28,96,784,10000,9216,10000
0,30,40,900,2500,1600,2500
0,30,72,900,6084,5184,6084
0,32,60,1024,4624,3600,4624
0,33,44,1089,3025,1936,3025
0,33,56,1089,4225,3136,4225
0,35,84,1225,8281,7056,8281
0,36,48,1296,3600,2304,3600
0,36,77,1296,7225,5929,7225
0,36,105,1296,12321,11025,12321
0,39,52,1521,4225,2704,4225
0,39,80,1521,7921,6400,7921
0,40,42,1600,3364,1764,3364
0,40,75,1600,7225,5625,7225
0,40,96,1600,10816,9216,10816
0,42,56,1764,4900,3136,4900
0,45,60,2025,5625,3600,5625
0,45,108,2025,13689,11664,13689
0,48,55,2304,5329,3025,5329
0,48,64,2304,6400,4096,6400
0,48,90,2304,10404,8100,10404
0,51,68,2601,7225,4624,7225
0,54,72,2916,8100,5184,8100
0,56,90,3136,11236,8100,11236
0,56,105,3136,14161,11025,14161
0,57,76,3249,9025,5776,9025
0,60,63,3600,7569,3969,7569
0,60,80,3600,10000,6400,10000
0,60,91,3600,11881,8281,11881
0,63,84,3969,11025,7056,11025
0,65,72,4225,9409,5184,9409
0,66,88,4356,12100,7744,12100
0,69,92,4761,13225,8464,13225
0,72,96,5184,14400,9216,14400
0,75,100,5625,15625,10000,15625
0,78,104,6084,16900,10816,16900
0,80,84,6400,13456,7056,13456
0,81,108,6561,18225,11664,18225
0,88,105,7744,18769,11025,18769
0,100,105,10000,21025,11025,21025
