a,b,c,a2,b2,c2,abc
0,0,0,0,0,0,0
0,0,1,0,0,1,1
0,0,2,0,0,4,4
0,0,3,0,0,9,9
0,0,4,0,0,16,16
0,0,5,0,0,25,25
0,0,6,0,0,36,36
0,0,7,0,0,49,49
0,0,8,0,0,64,64
0,0,9,0,0,81,81
0,0,10,0,0,100,100
0,0,11,0,0,121,121
0,0,12,0,0,144,144
0,0,13,0,0,169,169
0,0,14,0,0,196,196
0,0,15,0,0,225,225
0,0,16,0,0,256,256
0,0,17,0,0,289,289
0,0,18,0,0,324,324
0,0,19,0,0,361,361
0,0,20,0,0,400,400
0,0,21,0,0,441,441
0,0,22,0,0,484,484
0,0,23,0,0,529,529
0,0,24,0,0,576,576
0,0,25,0,0,625,625
0,0,26,0,0,676,676
0,0,27,0,0,729,729
0,0,28,0,0,784,784
0,0,29,0,0,841,841
0,0,30,0,0,900,900
0,0,31,0,0,961,961
0,0,32,0,0,1024,1024
0,0,33,0,0,1089,1089
0,0,34,0,0,1156,1156
0,0,35,0,0,1225,1225
0,0,36,0,0,1296,1296
0,0,37,0,0,1369,1369
0,0,38,0,0,1444,1444
0,0,39,0,0,1521,1521
0,0,40,0,0,1600,1600
0,0,41,0,0,1681,1681
0,0,42,0,0,1764,1764
0,0,43,0,0,1849,1849
0,0,44,0,0,1936,1936
0,0,45,0,0,2025,2025
0,0,46,0,0,2116,2116
0,0,47,0,0,2209,2209
0,0,48,0,0,2304,2304
0,0,49,0,0,2401,2401
0,0,50,0,0,2500,2500
0,0,51,0,0,2601,2601
0,0,52,0,0,2704,2704
0,0,53,0,0,2809,2809
0,0,54,0,0,2916,2916
0,0,55,0,0,3025,3025
0,0,56,0,0,3136,3136
0,0,57,0,0,3249,3249
0,0,58,0,0,3364,3364
0,0,59,0,0,3481,3481
0,0,60,0,0,3600,3600
0,0,61,0,0,3721,3721
0,0,62,0,0,3844,3844
0,0,63,0,0,3969,3969
0,0,64,0,0,4096,4096
0,0,65,0,0,4225,4225
0,0,66,0,0,4356,4356
0,0,67,0,0,4489,4489
0,0,68,0,0,4624,4624
0,0,69,0,0,4761,4761
0,0,70,0,0,4900,4900
0,0,71,0,0,5041,5041
0,0,72,0,0,5184,5184
0,0,73,0,0,5329,5329
0,0,74,0,0,5476,5476
0,0,75,0,0,5625,5625
0,0,76,0,0,5776,5776
0,0,77,0,0,5929,5929
0,0,78,0,0,6084,6084
0,0,79,0,0,6241,6241
0,0,80,0,0,6400,6400
0,0,81,0,0,6561,6561
0,0,82,0,0,6724,6724
0,0,83,0,0,6889,6889
0,0,84,0,0,7056,7056
0,0,85,0,0,7225,7225
0,0,86,0,0,7396,7396
0,0,87,0,0,7569,7569
0,0,88,0,0,7744,7744
0,0,89,0,0,7921,7921
0,0,90,0,0,8100,8100
0,0,91,0,0,8281,8281
0,0,92,0,0,8464,8464
0,0,93,0,0,8649,8649
0,0,94,0,0,8836,8836
0,0,95,0,0,9025,9025
0,0,96,0,0,9216,9216
0,0,97,0,0,9409,9409
0,0,98,0,0,9604,9604
0,0,99,0,0,9801,9801
0,0,100,0,0,10000,10000
0,0,101,0,0,10201,10201
0,0,102,0,0,10404,10404
0,0,103,0,0,10609,10609
0,0,104,0,0,10816,10816
0,0,105,0,0,11025,11025
0,0,106,0,0,11236,11236
0,0,107,0,0,11449,11449
0,0,108,0,0,11664,11664
0,0,109,0,0,11881,11881
0,0,110,0,0,12100,12100
0,0,111,0,0,12321,12321
0,0,112,0,0,12544,12544
0,0,113,0,0,12769,12769
0,0,114,0,0,12996,12996
0,0,115,0,0,13225,13225
0,0,116,0,0,13456,13456
0,0,117,0,0,13689,13689
0,0,118,0,0,13924,13924
0,0,119,0,0,14161,14161
0,0,120,0,0,14400,14400
0,0,121,0,0,14641,14641
0,0,122,0,0,14884,14884
0,0,123,0,0,15129,15129
0,0,124,0,0,15376,15376
0,0,125,0,0,15625,15625
0,0,126,0,0,15876,15876
0,0,127,0,0,16129,16129
0,0,128,0,0,16384,16384
0,0,129,0,0,16641,16641
0,0,130,0,0,16900,16900
0,0,131,0,0,17161,17161
0,0,132,0,0,17424,17424
0,0,133,0,0,17689,17689
0,0,134,0,0,17956,17956
0,0,135,0,0,18225,18225
0,0,136,0,0,18496,18496
0,0,137,0,0,18769,18769
0,0,138,0,0,19044,19044
