a,b,c,ab,bc,ac,abc
0,0,77,0,5929,5929,5929
0,0,78,0,6084,6084,6084
0,0,79,0,6241,6241,6241
0,0,80,0,6400,6400,6400
0,0,81,0,6561,6561,6561
0,0,82,0,6724,6724,6724
0,0,83,0,6889,6889,6889
0,0,84,0,7056,7056,7056
0,0,85,0,7225,7225,7225
0,0,86,0,7396,7396,7396
0,0,87,0,7569,7569,7569
0,0,88,0,7744,7744,7744
0,0,89,0,7921,7921,7921
0,0,90,0,8100,8100,8100
0,0,91,0,8281,8281,8281
0,0,92,0,8464,8464,8464
0,0,93,0,8649,8649,8649
0,0,94,0,8836,8836,8836
0,0,95,0,9025,9025,9025
0,0,96,0,9216,9216,9216
0,0,97,0,9409,9409,9409
0,0,98,0,9604,9604,9604
0,0,99,0,9801,9801,9801
0,0,100,0,10000,10000,10000
0,0,101,0,10201,10201,10201
0,0,102,0,10404,10404,10404
0,0,103,0,10609,10609,10609
0,0,104,0,10816,10816,10816
0,0,105,0,11025,11025,11025
0,0,106,0,11236,11236,11236
0,0,107,0,11449,11449,11449
0,0,108,0,11664,11664,11664
0,0,109,0,11881,11881,11881
0,0,110,0,12100,12100,12100
0,0,111,0,12321,12321,12321
0,0,112,0,12544,12544,12544
0,0,113,0,12769,12769,12769
0,0,114,0,12996,12996,12996
0,0,115,0,13225,13225,13225
0,0,116,0,13456,13456,13456
0,0,117,0,13689,13689,13689
0,0,118,0,13924,13924,13924
0,0,119,0,14161,14161,14161
0,0,120,0,14400,14400,14400
0,0,121,0,14641,14641,14641
0,0,122,0,14884,14884,14884
0,0,123,0,15129,15129,15129
0,0,124,0,15376,15376,15376
0,0,125,0,15625,15625,15625
0,0,126,0,15876,15876,15876
0,0,127,0,16129,16129,16129
0,0,128,0,16384,16384,16384
0,0,129,0,16641,16641,16641
0,0,130,0,16900,16900,16900
0,0,131,0,17161,17161,17161
0,0,132,0,17424,17424,17424
0,0,133,0,17689,17689,17689
0,0,134,0,17956,17956,17956
0,0,135,0,18225,18225,18225
0,0,136,0,18496,18496,18496
0,0,137,0,18769,18769,18769
0,0,138,0,19044,19044,19044
0,0,139,0,19321,19321,19321
0,0,140,0,19600,19600,19600
0,0,141,0,19881,19881,19881
0,0,142,0,20164,20164,20164
0,0,143,0,20449,20449,20449
0,0,144,0,20736,20736,20736
0,0,145,0,21025,21025,21025
0,0,146,0,21316,21316,21316
0,0,147,0,21609,21609,21609
0,0,148,0,21904,21904,21904
0,0,149,0,22201,22201,22201
0,0,150,0,22500,22500,22500
0,0,151,0,22801,22801,22801
0,0,152,0,23104,23104,23104
0,0,153,0,23409,23409,23409
0,0,154,0,23716,23716,23716
0,0,155,0,24025,24025,24025
0,0,156,0,24336,24336,24336
0,0,157,0,24649,24649,24649
0,0,158,0,24964,24964,24964
0,0,159,0,25281,25281,25281
0,0,160,0,25600,25600,25600
0,0,161,0,25921,25921,25921
0,0,162,0,26244,26244,26244
0,0,163,0,26569,26569,26569
0,0,164,0,26896,26896,26896
0,0,165,0,27225,27225,27225
0,0,166,0,27556,27556,27556
0,0,167,0,27889,27889,27889
0,0,168,0,28224,28224,28224
0,0,169,0,28561,28561,28561
0,0,170,0,28900,28900,28900
0,0,171,0,29241,29241,29241
0,0,172,0,29584,29584,29584
0,0,173,0,29929,29929,29929
0,0,174,0,30276,30276,30276
0,0,175,0,30625,30625,30625
0,0,176,0,30976,30976,30976
0,0,177,0,31329,31329,31329
0,0,178,0,31684,31684,31684
0,0,179,0,32041,32041,32041
0,0,180,0,32400,32400,32400
0,0,181,0,32761,32761,32761
0,0,182,0,33124,33124,33124
0,0,183,0,33489,33489,33489
0,0,184,0,33856,33856,33856
0,0,185,0,34225,34225,34225
0,0,186,0,34596,34596,34596
0,0,187,0,34969,34969,34969
0,0,188,0,35344,35344,35344
0,0,189,0,35721,35721,35721
0,0,190,0,36100,36100,36100
0,0,191,0,36481,36481,36481
0,0,192,0,36864,36864,36864
0,0,193,0,37249,37249,37249
0,0,194,0,37636,37636,37636
0,0,195,0,38025,38025,38025
0,0,196,0,38416,38416,38416
0,0,197,0,38809,38809,38809
0,0,198,0,39204,39204,39204
0,0,199,0,39601,39601,39601
0,0,200,0,40000,40000,40000
0,0,201,0,40401,40401,40401
0,0,202,0,40804,40804,40804
0,0,203,0,41209,41209,41209
0,0,204,0,41616,41616,41616
0,0,205,0,42025,42025,42025
0,0,206,0,42436,42436,42436
0,0,207,0,42849,42849,42849
0,0,208,0,43264,43264,43264
0,0,209,0,43681,43681,43681
0,0,210,0,44100,44100,44100
0,0,211,0,44521,44521,44521
0,0,212,0,44944,44944,44944
0,0,213,0,45369,45369,45369
0,0,214,0,45796,45796,45796
0,0,215,0,46225,46225,46225
0,0,216,0,46656,46656,46656
0,0,217,0,47089,47089,47089
0,0,218,0,47524,47524,47524
0,0,219,0,47961,47961,47961
0,0,220,0,48400,48400,48400
0,0,221,0,48841,48841,48841
0,0,222,0,49284,49284,49284
0,0,223,0,49729,49729,49729
0,0,224,0,50176,50176,50176
0,0,225,0,50625,50625,50625
0,0,226,0,51076,51076,51076
0,0,227,0,51529,51529,51529
0,0,228,0,51984,51984,51984
0,0,229,0,52441,52441,52441
0,0,230,0,52900,52900,52900
0,0,231,0,53361,53361,53361
0,0,232,0,53824,53824,53824
0,0,233,0,54289,54289,54289
0,0,234,0,54756,54756,54756
0,0,235,0,55225,55225,55225
0,0,236,0,55696,55696,55696
0,0,237,0,56169,56169,56169
0,0,238,0,56644,56644,56644
0,0,239,0,57121,57121,57121
0,0,240,0,57600,57600,57600
0,0,241,0,58081,58081,58081
0,0,242,0,58564,58564,58564
0,0,243,0,59049,59049,59049
0,0,244,0,59536,59536,59536
0,0,245,0,60025,60025,60025
0,0,246,0,60516,60516,60516
0,0,247,0,61009,61009,61009
0,0,248,0,61504,61504,61504
0,0,249,0,62001,62001,62001
0,0,250,0,62500,62500,62500
0,0,251,0,63001,63001,63001
0,0,252,0,63504,63504,63504
0,0,253,0,64009,64009,64009
0,0,254,0,64516,64516,64516
0,0,255,0,65025,65025,65025
0,0,256,0,65536,65536,65536
0,0,257,0,66049,66049,66049
0,0,258,0,66564,66564,66564
0,0,259,0,67081,67081,67081
0,0,260,0,67600,67600,67600
0,0,261,0,68121,68121,68121
0,0,262,0,68644,68644,68644
0,0,263,0,69169,69169,69169
0,0,264,0,69696,69696,69696
0,0,265,0,70225,70225,70225
0,0,266,0,70756,70756,70756
0,0,267,0,71289,71289,71289
0,0,268,0,71824,71824,71824
0,0,269,0,72361,72361,72361
0,0,270,0,72900,72900,72900
0,0,271,0,73441,73441,73441
0,0,272,0,73984,73984,73984
0,0,273,0,74529,74529,74529
0,0,274,0,75076,75076,75076
0,0,275,0,75625,75625,75625
0,0,276,0,76176,76176,76176
0,0,277,0,76729,76729,76729
0,0,278,0,77284,77284,77284
0,0,279,0,77841,77841,77841
0,0,280,0,78400,78400,78400
0,0,281,0,78961,78961,78961
0,0,282,0,79524,79524,79524
0,0,283,0,80089,80089,80089
0,0,284,0,80656,80656,80656
0,0,285,0,81225,81225,81225
0,0,286,0,81796,81796,81796
0,0,287,0,82369,82369,82369
0,0,288,0,82944,82944,82944
0,0,289,0,83521,83521,83521
0,0,290,0,84100,84100,84100
0,0,291,0,84681,84681,84681
0,0,292,0,85264,85264,85264
0,0,293,0,85849,85849,85849
0,0,294,0,86436,86436,86436
0,0,295,0,87025,87025,87025
0,0,296,0,87616,87616,87616
0,0,297,0,88209,88209,88209
0,0,298,0,88804,88804,88804
0,0,299,0,89401,89401,89401
0,0,300,0,90000,90000,90000
0,0,301,0,90601,90601,90601
0,0,302,0,91204,91204,91204
0,0,303,0,91809,91809,91809
0,0,304,0,92416,92416,92416
0,0,305,0,93025,93025,93025
0,0,306,0,93636,93636,93636
0,0,307,0,94249,94249,94249
0,0,308,0,94864,94864,94864
0,0,309,0,95481,95481,95481
0,0,310,0,96100,96100,96100
0,0,311,0,96721,96721,96721
0,0,312,0,97344,97344,97344
0,0,313,0,97969,97969,97969
0,0,314,0,98596,98596,98596
0,0,315,0,99225,99225,99225
0,0,316,0,99856,99856,99856
0,0,317,0,100489,100489,100489
0,0,318,0,101124,101124,101124
0,0,319,0,101761,101761,101761
0,0,320,0,102400,102400,102400
0,0,321,0,103041,103041,103041
0,0,322,0,103684,103684,103684
0,0,323,0,104329,104329,104329
0,0,324,0,104976,104976,104976
0,0,325,0,105625,105625,105625
0,0,326,0,106276,106276,106276
0,0,327,0,106929,106929,106929
0,0,328,0,107584,107584,107584
0,0,329,0,108241,108241,108241
0,0,330,0,108900,108900,108900
0,0,331,0,109561,109561,109561
0,0,332,0,110224,110224,110224
0,0,333,0,110889,110889,110889
0,0,334,0,111556,111556,111556
0,0,335,0,112225,112225,112225
0,0,336,0,112896,112896,112896
0,0,337,0,113569,113569,113569
0,0,338,0,114244,114244,114244
0,0,339,0,114921,114921,114921
0,0,340,0,115600,115600,115600
0,0,341,0,116281,116281,116281
0,0,342,0,116964,116964,116964
0,0,343,0,117649,117649,117649
0,0,344,0,118336,118336,118336
0,0,345,0,119025,119025,119025
0,0,346,0,119716,119716,119716
0,0,347,0,120409,120409,120409
0,0,348,0,121104,121104,121104
0,0,349,0,121801,121801,121801
0,0,350,0,122500,122500,122500
0,0,351,0,123201,123201,123201
0,0,352,0,123904,123904,123904
0,0,353,0,124609,124609,124609
0,0,354,0,125316,125316,125316
0,0,355,0,126025,126025,126025
0,0,356,0,126736,126736,126736
0,0,357,0,127449,127449,127449
0,0,358,0,128164,128164,128164
0,0,359,0,128881,128881,128881
0,0,360,0,129600,129600,129600
0,0,361,0,130321,130321,130321
0,0,362,0,131044,131044,131044
0,0,363,0,131769,131769,131769
0,0,364,0,132496,132496,132496
0,0,365,0,133225,133225,133225
0,0,366,0,133956,133956,133956
0,0,367,0,134689,134689,134689
0,0,368,0,135424,135424,135424
0,0,369,0,136161,136161,136161
0,0,370,0,136900,136900,136900
0,0,371,0,137641,137641,137641
0,0,372,0,138384,138384,138384
0,0,373,0,139129,139129,139129
0,0,374,0,139876,139876,139876
0,0,375,0,140625,140625,140625
0,0,376,0,141376,141376,141376
0,0,377,0,142129,142129,142129
0,0,378,0,142884,142884,142884
0,0,379,0,143641,143641,143641
0,0,380,0,144400,144400,144400
0,0,381,0,145161,145161,145161
0,0,382,0,145924,145924,145924
0,0,383,0,146689,146689,146689
0,0,384,0,147456,147456,147456
0,0,385,0,148225,148225,148225
0,0,386,0,148996,148996,148996
0,0,387,0,149769,149769,149769
0,0,388,0,150544,150544,150544
0,0,389,0,151321,151321,151321
0,0,390,0,152100,152100,152100
0,0,391,0,152881,152881,152881
0,0,392,0,153664,153664,153664
0,0,393,0,154449,154449,154449
0,0,394,0,155236,155236,155236
0,0,395,0,156025,156025,156025
0,0,396,0,156816,156816,156816
0,0,397,0,157609,157609,157609
0,0,398,0,158404,158404,158404
0,0,399,0,159201,159201,159201
0,0,400,0,160000,160000,160000
0,0,401,0,160801,160801,160801
0,0,402,0,161604,161604,161604
0,0,403,0,162409,162409,162409
0,0,404,0,163216,163216,163216
0,0,405,0,164025,164025,164025
0,0,406,0,164836,164836,164836
0,0,407,0,165649,165649,165649
0,0,408,0,166464,166464,166464
0,0,409,0,167281,167281,167281
0,0,410,0,168100,168100,168100
0,0,411,0,168921,168921,168921
0,0,412,0,169744,169744,169744
0,0,413,0,170569,170569,170569
0,0,414,0,171396,171396,171396
0,0,415,0,172225,172225,172225
0,0,416,0,173056,173056,173056
0,0,417,0,173889,173889,173889
0,0,418,0,174724,174724,174724
0,0,419,0,175561,175561,175561
0,0,420,0,176400,176400,176400
0,0,421,0,177241,177241,177241
0,0,422,0,178084,178084,178084
0,0,423,0,178929,178929,178929
0,0,424,0,179776,179776,179776
0,0,425,0,180625,180625,180625
0,0,426,0,181476,181476,181476
0,0,427,0,182329,182329,182329
0,0,428,0,183184,183184,183184
0,0,429,0,184041,184041,184041
0,0,430,0,184900,184900,184900
0,0,431,0,185761,185761,185761
0,0,432,0,186624,186624,186624
0,0,433,0,187489,187489,187489
0,0,434,0,188356,188356,188356
0,0,435,0,189225,189225,189225
0,0,436,0,190096,190096,190096
0,0,437,0,190969,190969,190969
0,0,438,0,191844,191844,191844
0,0,439,0,192721,192721,192721
0,0,440,0,193600,193600,193600
0,0,441,0,194481,194481,194481
0,0,442,0,195364,195364,195364
0,0,443,0,196249,196249,196249
0,0,444,0,197136,197136,197136
0,0,445,0,198025,198025,198025
0,0,446,0,198916,198916,198916
0,0,447,0,199809,199809,199809
0,0,448,0,200704,200704,200704
0,0,449,0,201601,201601,201601
0,0,450,0,202500,202500,202500
0,0,451,0,203401,203401,203401
0,0,452,0,204304,204304,204304
0,0,453,0,205209,205209,205209
0,0,454,0,206116,206116,206116
0,0,455,0,207025,207025,207025
0,0,456,0,207936,207936,207936
0,0,457,0,208849,208849,208849
0,0,458,0,209764,209764,209764
0,0,459,0,210681,210681,210681
0,0,460,0,211600,211600,211600
0,0,461,0,212521,212521,212521
0,0,462,0,213444,213444,213444
0,0,463,0,214369,214369,214369
0,0,464,0,215296,215296,215296
0,0,465,0,216225,216225,216225
0,0,466,0,217156,217156,217156
0,0,467,0,218089,218089,218089
0,0,468,0,219024,219024,219024
0,0,469,0,219961,219961,219961
0,0,470,0,220900,220900,220900
0,0,471,0,221841,221841,221841
0,0,472,0,222784,222784,222784
0,0,473,0,223729,223729,223729
0,0,474,0,224676,224676,224676
0,0,475,0,225625,225625,225625
0,0,476,0,226576,226576,226576
0,0,477,0,227529,227529,227529
0,0,478,0,228484,228484,228484
0,0,479,0,229441,229441,229441
0,0,480,0,230400,230400,230400
0,0,481,0,231361,231361,231361
0,0,482,0,232324,232324,232324
0,0,483,0,233289,233289,233289
0,0,484,0,234256,234256,234256
0,0,485,0,235225,235225,235225
0,0,486,0,236196,236196,236196
0,0,487,0,237169,237169,237169
0,0,488,0,238144,238144,238144
0,0,489,0,239121,239121,239121
0,0,490,0,240100,240100,240100
0,0,491,0,241081,241081,241081
0,0,492,0,242064,242064,242064
0,0,493,0,243049,243049,243049
0,0,494,0,244036,244036,244036
0,0,495,0,245025,245025,245025
0,0,496,0,246016,246016,246016
0,0,497,0,247009,247009,247009
0,0,498,0,248004,248004,248004
0,0,499,0,249001,249001,249001
0,0,500,0,250000,250000,250000
0,0,501,0,251001,251001,251001
0,0,502,0,252004,252004,252004
0,0,503,0,253009,253009,253009
0,0,504,0,254016,254016,254016
0,0,505,0,255025,255025,255025
0,0,506,0,256036,256036,256036
0,0,507,0,257049,257049,257049
0,0,508,0,258064,258064,258064
0,0,509,0,259081,259081,259081
0,0,510,0,260100,260100,260100
0,0,511,0,261121,261121,261121
0,0,512,0,262144,262144,262144
0,0,513,0,263169,263169,263169
0,0,514,0,264196,264196,264196
0,0,515,0,265225,265225,265225
0,0,516,0,266256,266256,266256
0,0,517,0,267289,267289,267289
0,0,518,0,268324,268324,268324
0,0,519,0,269361,269361,269361
0,0,520,0,270400,270400,270400
0,0,521,0,271441,271441,271441
0,0,522,0,272484,272484,272484
0,0,523,0,273529,273529,273529
0,0,524,0,274576,274576,274576
0,0,525,0,275625,275625,275625
0,0,526,0,276676,276676,276676
0,0,527,0,277729,277729,277729
0,0,528,0,278784,278784,278784
0,0,529,0,279841,279841,279841
0,0,530,0,280900,280900,280900
0,0,531,0,281961,281961,281961
0,0,532,0,283024,283024,283024
0,0,533,0,284089,284089,284089
0,0,534,0,285156,285156,285156
0,0,535,0,286225,286225,286225
0,0,536,0,287296,287296,287296
0,0,537,0,288369,288369,288369
0,0,538,0,289444,289444,289444
0,0,539,0,290521,290521,290521
0,0,540,0,291600,291600,291600
0,0,541,0,292681,292681,292681
0,0,542,0,293764,293764,293764
0,0,543,0,294849,294849,294849
0,0,544,0,295936,295936,295936
0,0,545,0,297025,297025,297025
0,0,546,0,298116,298116,298116
0,0,547,0,299209,299209,299209
0,0,548,0,300304,300304,300304
0,0,549,0,301401,301401,301401
0,0,550,0,302500,302500,302500
0,0,551,0,303601,303601,303601
0,0,552,0,304704,304704,304704
0,0,553,0,305809,305809,305809
0,0,554,0,306916,306916,306916
0,0,555,0,308025,308025,308025
0,0,556,0,309136,309136,309136
0,0,557,0,310249,310249,310249
0,0,558,0,311364,311364,311364
0,0,559,0,312481,312481,312481
0,0,560,0,313600,313600,313600
0,0,561,0,314721,314721,314721
0,0,562,0,315844,315844,315844
0,0,563,0,316969,316969,316969
0,0,564,0,318096,318096,318096
0,0,565,0,319225,319225,319225
0,0,566,0,320356,320356,320356
0,0,567,0,321489,321489,321489
0,0,568,0,322624,322624,322624
0,0,569,0,323761,323761,323761
0,0,570,0,324900,324900,324900
0,0,571,0,326041,326041,326041
0,0,572,0,327184,327184,327184
0,0,573,0,328329,328329,328329
0,0,574,0,329476,329476,329476
0,0,575,0,330625,330625,330625
0,0,576,0,331776,331776,331776
0,0,577,0,332929,332929,332929
0,0,578,0,334084,334084,334084
0,0,579,0,335241,335241,335241
0,0,580,0,336400,336400,336400
0,0,581,0,337561,337561,337561
0,0,582,0,338724,338724,338724
0,0,583,0,339889,339889,339889
0,0,584,0,341056,341056,341056
0,0,585,0,342225,342225,342225
0,0,586,0,343396,343396,343396
0,0,587,0,344569,344569,344569
0,0,588,0,345744,345744,345744
0,0,589,0,346921,346921,346921
0,0,590,0,348100,348100,348100
0,0,591,0,349281,349281,349281
0,0,592,0,350464,350464,350464
0,0,593,0,351649,351649,351649
0,0,594,0,352836,352836,352836
0,0,595,0,354025,354025,354025
0,0,596,0,355216,355216,355216
0,0,597,0,356409,356409,356409
0,0,598,0,357604,357604,357604
0,0,599,0,358801,358801,358801
0,3,4,9,25,16,25
0,5,12,25,169,144,169
0,6,8,36,100,64,100
0,7,24,49,625,576,625
0,8,15,64,289,225,289
0,9,12,81,225,144,225
0,9,40,81,1681,1600,1681
0,10,24,100,676,576,676
0,11,60,121,3721,3600,3721
0,12,16,144,400,256,400
0,12,35,144,1369,1225,1369
0,13,84,169,7225,7056,7225
0,14,48,196,2500,2304,2500
0,15,20,225,625,400,625
0,15,36,225,1521,1296,1521
0,15,112,225,12769,12544,12769
0,16,30,256,1156,900,1156
0,16,63,256,4225,3969,4225
0,17,144,289,21025,20736,21025
0,18,24,324,900,576,900
0,18,80,324,6724,6400,6724
0,19,180,361,32761,32400,32761
0,20,21,400,841,441,841
0,20,48,400,2704,2304,2704
0,20,99,400,10201,9801,10201
0,21,28,441,1225,784,1225
0,21,72,441,5625,5184,5625
0,21,220,441,48841,48400,48841
0,22,120,484,14884,14400,14884
0,23,264,529,70225,69696,70225
0,24,32,576,1600,1024,1600
0,24,45,576,2601,2025,2601
0,24,70,576,5476,4900,5476
0,24,143,576,21025,20449,21025
0,25,60,625,4225,3600,4225
0,25,312,625,97969,97344,97969
0,26,168,676,28900,28224,28900
0,27,36,729,2025,1296,2025
0,27,120,729,15129,14400,15129
0,27,364,729,133225,132496,133225
0,28,45,784,2809,2025,2809
0,28,96,784,10000,9216,10000
0,28,195,784,38809,38025,38809
0,29,420,841,177241,176400,177241
0,30,40,900,2500,1600,2500
0,30,72,900,6084,5184,6084
0,30,224,900,51076,50176,51076
0,31,480,961,231361,230400,231361
0,32,60,1024,4624,3600,4624
0,32,126,1024,16900,15876,16900
0,32,255,1024,66049,65025,66049
0,33,44,1089,3025,1936,3025
0,33,56,1089,4225,3136,4225
0,33,180,1089,33489,32400,33489
0,33,544,1089,297025,295936,297025
0,34,288,1156,84100,82944,84100
0,35,84,1225,8281,7056,8281
0,35,120,1225,15625,14400,15625
0,36,48,1296,3600,2304,3600
0,36,77,1296,7225,5929,7225
0,36,105,1296,12321,11025,12321
0,36,160,1296,26896,25600,26896
0,36,323,1296,105625,104329,105625
0,38,360,1444,131044,129600,131044
0,39,52,1521,4225,2704,4225
0,39,80,1521,7921,6400,7921
0,39,252,1521,65025,63504,65025
0,40,42,1600,3364,1764,3364
0,40,75,1600,7225,5625,7225
0,40,96,1600,10816,9216,10816
0,40,198,1600,40804,39204,40804
0,40,399,1600,160801,159201,160801
0,42,56,1764,4900,3136,4900
0,42,144,1764,22500,20736,22500
0,42,440,1764,195364,193600,195364
0,44,117,1936,15625,13689,15625
0,44,240,1936,59536,57600,59536
0,44,483,1936,235225,233289,235225
0,45,60,2025,5625,3600,5625
0,45,108,2025,13689,11664,13689
0,45,200,2025,42025,40000,42025
0,45,336,2025,114921,112896,114921
0,46,528,2116,280900,278784,280900
0,48,55,2304,5329,3025,5329
0,48,64,2304,6400,4096,6400
0,48,90,2304,10404,8100,10404
0,48,140,2304,21904,19600,21904
0,48,189,2304,38025,35721,38025
0,48,286,2304,84100,81796,84100
0,48,575,2304,332929,330625,332929
0,49,168,2401,30625,28224,30625
0,50,120,2500,16900,14400,16900
0,51,68,2601,7225,4624,7225
0,51,140,2601,22201,19600,22201
0,51,432,2601,189225,186624,189225
0,52,165,2704,29929,27225,29929
0,52,336,2704,115600,112896,115600
0,54,72,2916,8100,5184,8100
0,54,240,2916,60516,57600,60516
0,55,132,3025,20449,17424,20449
0,55,300,3025,93025,90000,93025
0,56,90,3136,11236,8100,11236
0,56,105,3136,14161,11025,14161
0,56,192,3136,40000,36864,40000
0,56,390,3136,155236,152100,155236
0,57,76,3249,9025,5776,9025
0,57,176,3249,34225,30976,34225
0,57,540,3249,294849,291600,294849
0,60,63,3600,7569,3969,7569
0,60,80,3600,10000,6400,10000
0,60,91,3600,11881,8281,11881
0,60,144,3600,24336,20736,24336
0,60,175,3600,34225,30625,34225
0,60,221,3600,52441,48841,52441
0,60,297,3600,91809,88209,91809
0,60,448,3600,204304,200704,204304
0,63,84,3969,11025,7056,11025
0,63,216,3969,50625,46656,50625
0,63,280,3969,82369,78400,82369
0,64,120,4096,18496,14400,18496
0,64,252,4096,67600,63504,67600
0,64,510,4096,264196,260100,264196
0,65,72,4225,9409,5184,9409
0,65,156,4225,28561,24336,28561
0,65,420,4225,180625,176400,180625
0,66,88,4356,12100,7744,12100
0,66,112,4356,16900,12544,16900
0,66,360,4356,133956,129600,133956
0,68,285,4624,85849,81225,85849
0,68,576,4624,336400,331776,336400
0,69,92,4761,13225,8464,13225
0,69,260,4761,72361,67600,72361
0,70,168,4900,33124,28224,33124
0,70,240,4900,62500,57600,62500
0,72,96,5184,14400,9216,14400
0,72,135,5184,23409,18225,23409
0,72,154,5184,28900,23716,28900
0,72,210,5184,49284,44100,49284
0,72,320,5184,107584,102400,107584
0,72,429,5184,189225,184041,189225
0,75,100,5625,15625,10000,15625
0,75,180,5625,38025,32400,38025
0,75,308,5625,100489,94864,100489
0,75,560,5625,319225,313600,319225
0,76,357,5776,133225,127449,133225
0,77,264,5929,75625,69696,75625
0,77,420,5929,182329,176400,182329
0,78,104,6084,16900,10816,16900
0,78,160,6084,31684,25600,31684
0,78,504,6084,260100,254016,260100
0,80,84,6400,13456,7056,13456
0,80,150,6400,28900,22500,28900
0,80,192,6400,43264,36864,43264
0,80,315,6400,105625,99225,105625
0,80,396,6400,163216,156816,163216
0,81,108,6561,18225,11664,18225
0,81,360,6561,136161,129600,136161
0,84,112,7056,19600,12544,19600
0,84,135,7056,25281,18225,25281
0,84,187,7056,42025,34969,42025
0,84,245,7056,67081,60025,67081
0,84,288,7056,90000,82944,90000
0,84,437,7056,198025,190969,198025
0,84,585,7056,349281,342225,349281
0,85,132,7225,24649,17424,24649
0,85,204,7225,48841,41616,48841
0,87,116,7569,21025,13456,21025
0,87,416,7569,180625,173056,180625
0,88,105,7744,18769,11025,18769
0,88,165,7744,34969,27225,34969
0,88,234,7744,62500,54756,62500
0,88,480,7744,238144,230400,238144
0,90,120,8100,22500,14400,22500
0,90,216,8100,54756,46656,54756
0,90,400,8100,168100,160000,168100
0,91,312,8281,105625,97344,105625
0,91,588,8281,354025,345744,354025
0,92,525,8464,284089,275625,284089
0,93,124,8649,24025,15376,24025
0,93,476,8649,235225,226576,235225
0,95,168,9025,37249,28224,37249
0,95,228,9025,61009,51984,61009
0,96,110,9216,21316,12100,21316
0,96,128,9216,25600,16384,25600
0,96,180,9216,41616,32400,41616
0,96,247,9216,70225,61009,70225
0,96,280,9216,87616,78400,87616
0,96,378,9216,152100,142884,152100
0,96,572,9216,336400,327184,336400
0,98,336,9604,122500,112896,122500
0,99,132,9801,27225,17424,27225
0,99,168,9801,38025,28224,38025
0,99,440,9801,203401,193600,203401
0,99,540,9801,301401,291600,301401
0,100,105,10000,21025,11025,21025
0,100,240,10000,67600,57600,67600
0,100,495,10000,255025,245025,255025
0,102,136,10404,28900,18496,28900
0,102,280,10404,88804,78400,88804
0,104,153,10816,34225,23409,34225
0,104,195,10816,48841,38025,48841
0,104,330,10816,119716,108900,119716
0,105,140,11025,30625,19600,30625
0,105,208,11025,54289,43264,54289
0,105,252,11025,74529,63504,74529
0,105,360,11025,140625,129600,140625
0,108,144,11664,32400,20736,32400
0,108,231,11664,65025,53361,65025
0,108,315,11664,110889,99225,110889
0,108,480,11664,242064,230400,242064
0,110,264,12100,81796,69696,81796
0,111,148,12321,34225,21904,34225
0,112,180,12544,44944,32400,44944
0,112,210,12544,56644,44100,56644
0,112,384,12544,160000,147456,160000
0,112,441,12544,207025,194481,207025
0,114,152,12996,36100,23104,36100
0,114,352,12996,136900,123904,136900
0,115,252,13225,76729,63504,76729
